,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,1,200,3,0.004343748092651367,0.4166666666666667,2,8,9,5
1,400,1,200,3,0.012110710144042969,0.5833333333333334,4,10,6,4
2,400,1,200,3,0.0041997432708740234,0.5416666666666666,2,11,5,6
3,400,1,200,3,0.004094600677490234,0.5416666666666666,0,13,10,1
4,400,1,200,3,0.006193399429321289,0.6666666666666666,3,13,3,5
5,400,1,200,3,0.0061223506927490234,0.6666666666666666,5,11,3,5
6,400,1,200,3,0.03701019287109375,0.625,2,13,6,3
7,400,1,200,3,0.006856262683868408,0.6666666666666666,4,12,4,4
8,400,1,200,3,0.005671262741088867,0.5833333333333334,4,10,5,5
9,400,1,200,3,0.008436441421508789,0.5833333333333334,4,10,3,7
10,400,1,200,3,0.0069768428802490234,0.5833333333333334,2,12,6,4
11,400,1,200,3,0.027584314346313477,0.7083333333333334,2,15,4,3
12,400,1,200,3,0.004988193511962891,0.5833333333333334,3,11,2,8
13,400,1,200,3,0.0030434131622314453,0.625,2,13,4,5
14,400,1,200,3,0.0065648555755615234,0.5,4,8,6,6
