,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,1,50,6,0.0069255828857421875,0.5,3,9,4,8
1,400,1,50,6,0.0091782808303833,0.625,1,14,4,5
2,400,1,50,6,0.0030393600463867188,0.625,3,12,5,4
3,400,1,50,6,0.003758668899536133,0.625,0,15,6,3
4,400,1,50,6,0.004019260406494141,0.5416666666666666,1,12,5,6
5,400,1,50,6,0.019954681396484375,0.625,3,12,5,4
6,400,1,50,6,0.005359172821044922,0.4583333333333333,0,11,6,7
7,400,1,50,6,0.003557443618774414,0.4583333333333333,0,11,4,9
8,400,1,50,6,0.003609299659729004,0.625,3,12,3,6
9,400,1,50,6,0.0039048194885253906,0.2916666666666667,2,5,4,13
