,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,7,100,3,2.1985920071601868,0.3333333333333333,3,5,5,11
1,400,7,100,3,0.010589838027954102,0.4583333333333333,3,8,7,6
2,400,7,100,3,0.0039958953857421875,0.4583333333333333,5,6,5,8
3,400,7,100,3,0.004349708557128906,0.625,4,11,4,5
4,400,7,100,3,0.02036309242248535,0.6666666666666666,4,12,5,3
5,400,7,100,3,0.013877391815185547,0.5833333333333334,3,11,6,4
6,400,7,100,3,4.394404053688049,0.5833333333333334,0,14,3,7
7,400,7,100,3,0.009489059448242188,0.4166666666666667,1,9,6,8
8,400,7,100,3,0.014810800552368164,0.4583333333333333,3,8,2,11
9,400,7,100,3,0.004754066467285156,0.5,2,10,7,5
10,400,7,100,3,0.008296012878417969,0.5,1,11,5,7
11,400,7,100,3,0.028372645378112793,0.4583333333333333,2,9,9,4
12,400,7,100,3,35.48788523674011,0.75,0,18,6,0
13,400,7,100,3,0.00514531135559082,0.625,2,13,5,4
14,400,7,100,3,0.010058879852294922,0.4166666666666667,2,8,6,8
