,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,15,100,3,36.78479093313217,0.75,0,18,6,0
1,400,15,100,3,26.47125867009163,0.4583333333333333,2,9,5,8
2,400,15,100,3,37.090929090976715,0.625,0,15,9,0
3,400,15,100,3,33.14513298869133,0.5,1,11,4,8
4,400,15,100,3,36.09715849161148,0.5833333333333334,4,10,4,6
5,400,15,100,3,35.94919428229332,0.7083333333333334,0,17,7,0
6,400,15,100,3,34.713687747716904,0.6666666666666666,0,16,8,0
7,400,15,100,3,29.61633712053299,0.625,0,15,9,0
8,400,15,100,3,38.060275822877884,0.7083333333333334,0,17,7,0
9,400,15,100,3,35.171273708343506,0.625,0,15,9,0
10,400,15,100,3,36.235814958810806,0.625,1,14,3,6
11,400,15,100,3,36.88373064994812,0.75,4,14,3,3
12,400,15,100,3,33.754518866539,0.5,5,7,0,12
13,400,15,100,3,30.18361508846283,0.5833333333333334,1,13,7,3
14,400,15,100,3,32.67294004559517,0.7083333333333334,2,15,6,1
