,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,350,1,300,2,0.01669621467590332,0.4583333333333333,2,9,7,6
1,350,1,300,2,0.0073740482330322266,0.5,3,9,3,9
2,350,1,300,2,0.016547203063964844,0.5,1,11,5,7
3,350,1,300,2,0.0068166255950927734,0.5416666666666666,1,12,6,5
4,350,1,300,2,0.00703883171081543,0.5416666666666666,2,11,4,7
5,350,1,300,2,0.007521867752075195,0.5833333333333334,3,11,8,2
6,350,1,300,2,0.006856203079223633,0.4166666666666667,2,8,6,8
7,350,1,300,2,0.010921478271484375,0.5,3,9,5,7
8,350,1,300,2,0.0502932071685791,0.625,1,14,6,3
9,350,1,300,2,2.51401087641716,0.4166666666666667,3,7,4,10
