,n_estimators,accuracy,truePos,trueNeg,falsePos,falseNeg
0,200,0.5,2,10,5,7
1,200,0.6666666666666666,2,14,4,4
2,200,0.625,3,12,7,2
3,200,0.7916666666666666,5,14,3,2
4,200,0.6666666666666666,4,12,4,4
5,200,0.6666666666666666,4,12,4,4
6,200,0.75,6,12,3,3
7,200,0.625,4,11,3,6
8,200,0.8333333333333334,5,15,2,2
9,200,0.5833333333333334,1,13,4,6
10,200,0.6666666666666666,1,15,5,3
11,200,0.6666666666666666,2,14,3,5
12,200,0.6666666666666666,3,13,5,3
13,200,0.7083333333333334,2,15,5,2
14,200,0.7916666666666666,7,12,1,4
