,embeddingSize,n_estimators,accuracy,truePos,trueNeg,falsePos,falseNeg
0,50,10,0.625,3,12,5,4
1,50,10,0.625,6,9,1,8
2,50,10,0.75,6,12,1,5
3,50,10,0.6666666666666666,5,11,3,5
4,50,10,0.6666666666666666,4,12,3,5
5,50,10,0.6666666666666666,2,14,2,6
6,50,10,0.75,4,14,4,2
7,50,10,0.75,3,15,2,4
8,50,10,0.6666666666666666,5,11,0,8
9,50,10,0.7083333333333334,4,13,4,3
10,50,10,0.625,3,12,4,5
11,50,10,0.6666666666666666,4,12,5,3
12,50,10,0.5833333333333334,4,10,6,4
13,50,10,0.7083333333333334,3,14,4,3
14,50,10,0.5416666666666666,3,10,8,3
