,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,400,1,200,2,0.006194114685058594,0.4166666666666667,6,4,3,11
1,400,1,200,2,0.006437540054321289,0.375,2,7,3,12
2,400,1,200,2,1.5614186525344849,0.5833333333333334,1,13,6,4
3,400,1,200,2,0.017877817153930664,0.5833333333333334,1,13,7,3
4,400,1,200,2,0.006300926208496094,0.6666666666666666,1,15,6,2
5,400,1,200,2,0.008066654205322266,0.4166666666666667,1,9,4,10
6,400,1,200,2,0.021419286727905273,0.625,2,13,5,4
7,400,1,200,2,0.007114291191101074,0.5,3,9,8,4
8,400,1,200,2,0.006102561950683594,0.625,3,12,3,6
9,400,1,200,2,0.006472349166870117,0.5,2,10,4,8
