,maxEpochs,num_layers,embeddingSize,hiddenDim,train_loss,accuracy,truePos,trueNeg,falsePos,falseNeg
0,500,1,300,2,0.03140735626220703,0.625,4,11,5,4
1,500,1,300,2,0.005080699920654297,0.625,3,12,5,4
2,500,1,300,2,0.005143404006958008,0.4166666666666667,2,8,6,8
3,500,1,300,2,0.0050084590911865234,0.5,2,10,5,7
4,500,1,300,2,0.005327939987182617,0.6666666666666666,6,10,3,5
5,500,1,300,2,0.006409645080566406,0.625,5,10,4,5
6,500,1,300,2,0.005135774612426758,0.5833333333333334,2,12,6,4
7,500,1,300,2,0.03180432319641113,0.7083333333333334,3,14,4,3
8,500,1,300,2,0.005188941955566406,0.4166666666666667,2,8,2,12
9,500,1,300,2,0.004700183868408203,0.625,3,12,6,3
